@relation hawks

@attribute id NUMERIC
@attribute month NUMERIC
@attribute day NUMERIC
@attribute year NUMERIC
@attribute captureTime DATE "HH:mm"
@attribute releaseTime DATE "HH:mm"
@attribute age {I, A}
@attribute sex {F, M}
@attribute wing NUMERIC
@attribute weight NUMERIC
@attribute culmen NUMERIC
@attribute hallux NUMERIC
@attribute tail NUMERIC
@attribute species {CH, RT, SS}

@data
71,10,21,1993,14:00,?,A,?,391,1130,26.4,29.4,212,RT
72,10,22,1993,13:15,?,A,?,387,1160,26.8,31,209,RT
73,10,23,1993,09:23,?,I,?,420,1345,29.5,34.3,250,RT
74,10,25,1993,14:05,?,A,?,435,1385,32.6,30.6,235,RT
75,10,26,1993,09:20,?,A,?,400,1210,25.5,28.6,222,RT
76,10,31,1993,15:30,?,I,?,398,1455,28,31.5,236,RT
77,11,5,1993,16:35,?,I,?,395,1180,25,28.9,210,RT
78,11,18,1993,13:05,?,I,?,410,1500,27.1,33.2,239,RT
79,9,6,1994,14:12,?,I,?,369,1025,27.1,31.5,228,RT
80,9,6,1994,15:55,?,I,?,372,930,26.1,31.1,220,RT
81,9,7,1994,11:35,?,I,?,415,1360,28.6,33.5,233,RT
82,9,7,1994,11:00,?,I,?,412,1255,27.7,32.6,236,RT
83,9,8,1994,10:37,?,I,F,205,194,12.6,14.4,155,SS
84,9,9,1994,09:55,?,I,F,204,159,12.5,14.8,152,SS
85,9,9,1994,10:40,?,I,M,170,90,9.5,11.3,135,SS
86,9,12,1994,12:27,?,A,M,233,340,17.8,19.4,186,CH
87,9,12,1994,13:35,?,I,?,375,1065,25.9,30,216,RT
88,9,13,1994,12:10,?,I,?,385,1125,19.6,31.4,233,RT
89,9,15,1994,09:02,?,I,?,422,1340,28.7,32,248,RT
90,9,15,1994,10:47,?,I,?,391,1050,26.6,32.2,221,RT
91,9,15,1994,11:24,?,I,?,410,1210,27.5,308,227,RT
92,9,16,1994,13:50,?,I,?,385,980,26.8,27.8,223,RT
93,9,16,1994,11:58,?,I,?,381,1000,25.5,29.8,219,RT
94,8,18,1994,12:45,?,A,?,416,1390,28.1,31.3,225,RT
95,9,18,1994,13:20,?,I,?,406,1275,29,33.7,238,RT
96,9,19,1994,13:35,?,I,?,418,1180,30.1,341.4,235,RT
97,9,19,1994,10:23,?,I,?,412,1210,29.3,33.8,222,RT
98,9,20,1994,11:20,?,A,F,208,168,12.7,14.8,155,SS
99,9,20,1994,12:05,?,I,F,208,146,11.8,14.9,160,SS
100,9,20,1994,13:20,?,I,M,175,108,10,11.5,137,SS
101,9,20,1994,12:58,?,I,M,166,94,9.5,11.3,127,SS
102,9,29,1994,14:05,?,I,?,405,1085,27.7,29.9,238,RT
103,9,20,1994,09:05,?,A,F,198,188,12.2,143,150,SS
104,9,29,1994,09:33,?,I,F,200,154,12.4,14.4,150,SS
105,9,21,1994,11:04,?,I,?,380,810,25.9,28.7,229,RT
106,9,23,1994,12:10,?,I,?,381,905,27.9,29.1,227,RT
107,9,26,1994,13:55,?,I,M,169,94,9,10.2,129,SS
108,9,26,1994,14:00,?,I,F,260,420,19.6,23.9,220,CH
109,9,26,1994,14:45,?,I,?,428,1240,29.1,34.7,245,RT
110,9,26,1994,13:50,?,I,?,400,990,26.9,31.4,223,RT
111,9,27,1994,11:48,?,I,F,265,365,16.8,22.5,224,CH
112,9,27,1994,10:28,?,I,M,177,91,10.2,11.3,133,SS
113,9,27,1994,10:54,?,I,?,381,1010,25.8,31.7,210,RT
114,9,28,1994,12:10,?,I,?,403,980,26.3,29.7,234,RT
115,9,28,1994,14:02,?,I,?,382,860,26.5,29,219,RT
116,9,28,1994,08:00,?,I,?,382,970,25.8,29,216,RT
117,9,28,1994,11:55,?,I,?,399,980,27.5,29.9,230,RT
118,9,29,1994,15:40,?,I,?,380,985,23.9,29,223,RT
119,9,29,1994,09:25,?,I,?,375,990,25.6,30.6,220,RT
120,9,30,1994,11:10,?,I,?,420,1210,27.8,32.6,241,RT
121,10,3,1994,11:38,?,I,M,170,89,8.6,11,136,SS
122,10,3,1994,13:02,?,A,M,177,97,10,11.3,137,SS
123,10,4,1994,13:55,?,I,?,375,990,28,29.5,223,RT
124,10,4,1994,13:16,?,I,?,395,1170,28.1,31.7,238,RT
125,10,5,1994,10:39,?,A,M,170,93,10.1,11.2,126,SS
126,10,5,1994,11:13,?,I,?,406,1350,30.5,32,235,RT
127,10,5,1994,13:07,?,I,?,414,1370,29.3,33,240,RT
128,10,5,1994,13:37,?,I,M,173,103,9.7,19.4,137,SS
129,10,6,1994,14:45,?,I,F,209,151,12.2,13.9,160,SS
130,10,6,1994,11:55,?,I,M,177,101,10.3,12.1,140,SS
131,10,7,1994,13:55,?,I,?,388,985,26.9,29.8,220,RT
132,10,7,1994,15:17,?,I,?,277,940,26.5,30.4,218,RT
133,10,7,1994,16:00,?,I,?,423,1310,27.4,34.1,234,RT
134,10,7,1994,10:45,?,I,?,365,1035,26.1,30.8,232,RT
135,10,7,1994,11:23,?,I,?,383,965,26.1,31.8,221,RT
136,10,10,1994,10:50,?,I,?,391,1125,25.4,30.9,220,RT
137,10,10,1994,11:24,?,I,?,389,975,26.4,30.3,232,RT
138,10,10,1994,12:15,?,I,?,392,1140,26.2,29.8,214,RT
139,10,10,1994,15:40,?,I,?,375,950,25.3,29.9,225,RT
140,10,10,1994,16:35,?,I,?,410,1210,28.1,28.9,238,RT
141,10,10,1994,11:02,?,I,M,179,95,10.8,11.6,133,SS
142,10,11,1994,12:01,?,I,M,172,89,9.4,10.8,136,SS
143,10,11,1994,12:23,?,A,F,202,195,12.4,14.1,151,SS
144,10,12,1994,13:10,?,I,M,174,93,9.5,11,131,SS
145,10,13,1994,13:50,?,I,?,422,1205,28.8,31.3,238,RT
146,10,13,1994,15:07,?,I,?,385,1045,27.6,27.5,229,RT
147,10,16,1994,08:52,?,I,?,363,1090,26.6,28.8,202,RT
148,10,16,1994,12:36,?,I,?,450,1190,30.3,32.8,226,RT
149,10,18,1994,11:15,?,I,?,380,960,25.6,30.1,220,RT
150,10,18,1994,13:05,?,I,?,385,955,26.3,30.1,215,RT
151,10,18,1994,14:00,?,I,?,385,1110,24.7,30.2,122,RT
152,10,19,1994,12:05,?,I,M,171,100,19.1,11.5,134,SS
153,10,19,1994,11:30,?,I,?,380,900,24,26.5,215,RT
154,10,19,1994,10:00,?,I,?,384,1075,26.5,30.7,208,RT
155,10,19,1994,12:35,?,I,?,373,980,27.9,32.1,211,RT
156,10,19,1994,13:30,?,I,?,381,940,27.8,34.2,220,RT
157,10,19,1994,09:08,?,I,?,363,1070,25.6,30.4,204,RT
158,10,19,1994,10:46,?,I,?,409,1120,29.4,31.6,229,RT
159,10,20,1994,11:27,?,A,?,390,1060,27.6,29,205,RT
160,10,21,1994,12:15,?,I,F,204,168,12.1,14.3,155,SS
161,10,22,1994,12:55,?,I,F,197,211,11.5,13.9,150,SS
162,10,23,1994,13:35,?,I,?,420,1125,27.2,27.4,244,RT
163,10,23,1994,13:50,?,I,?,381,1100,27,28.2,225,RT
164,10,23,1994,12:00,?,I,?,408,1360,30,33.9,239,RT
165,10,23,1994,10:12,?,I,?,388,995,26.7,30.7,222,RT
166,10,23,1994,14:45,?,A,?,398,1095,21.1,31.4,209,RT
167,10,24,1994,11:06,?,I,F,209,196,12.1,14.6,164,SS
168,10,25,1994,11:36,?,I,F,209,176,11.7,15.1,159,SS
169,10,25,1994,13:09,?,A,?,394,1075,25.5,29.7,211,RT
170,10,25,1994,14:25,?,A,F,204,180,12.3,15.2,160,SS
171,10,26,1994,15:00,?,I,F,204,164,12.3,14.3,157,SS
172,10,26,1994,09:05,?,I,F,209,158,12.2,14.4,160,SS
173,10,26,1994,10:25,?,I,?,394,1140,26.8,29.2,216,RT
174,10,26,1994,14:00,?,I,?,416,1240,27.9,31.8,250,RT
175,10,26,1994,14:19,?,I,?,445,1465,29.7,34.6,260,RT
176,10,27,1994,9:12,?,I,F,209,169,12.1,14.5,164,SS
177,10,27,1994,10:29,?,I,?,388,1105,26.7,28.9,217,RT
178,10,27,1994,11:39,?,I,?,397,1010,27.1,31.4,228,RT
179,10,27,1994,14:55,?,I,?,384,1075,26.3,30.5,218,RT
180,10,27,1994,15:40,?,I,?,379,1060,27.9,30.9,220,RT
181,10,28,1994,09:15,?,I,?,393,1015,27.6,31.1,227,RT
182,10,28,1994,10:55,?,I,?,386,1100,26,30.2,211,RT
183,10,29,1994,11:50,?,I,?,397,1010,25,30.6,222,RT
184,10,29,1994,12:24,?,I,?,382,1000,26.3,30.1,225,RT
185,11,1,1994,13:37,?,I,?,386,980,25.4,30.2,221,RT
186,11,1,1994,10:05,?,I,?,417,1240,28.7,32.4,231,RT
187,11,2,1994,10:45,?,I,?,403,1360,27.9,33.1,235,RT
188,11,2,1994,11:05,?,A,M,239,183,17.3,19.2,182,CH
189,11,2,1994,11:50,?,I,?,401,1405,29.1,82.8,235,RT
190,11,2,1994,10:45,?,A,?,377,1055,27,29.1,200,RT
191,11,6,1994,11:21,?,A,?,432,1670,27.1,32.9,216,RT
192,11,6,1994,11:41,?,I,?,390,1250,26.2,30.5,223,RT
193,11,6,1994,12:26,?,I,?,381,1030,25.3,29.9,210,RT
195,11,7,1994,12:20,?,I,F,213,190,12.2,15.5,160,SS
196,11,9,1994,14:52,?,I,M,172,105,10,10.8,125,SS
197,11,9,1994,09:55,?,I,?,390,1090,26.2,28.8,226,RT
198,11,11,1994,10:30,?,I,F,204,190,11.8,13.9,154,SS
199,11,11,1994,11:40,?,A,?,386,1050,28.4,29.4,207,RT
200,11,11,1994,11:22,?,I,?,402,1110,26.1,30,238,RT
201,11,11,1994,12:47,?,I,F,201,206,12.1,13.5,151,SS
202,11,11,1994,09:46,?,I,F,202,195,12.1,14.8,158,SS
203,11,15,1994,15:02,?,A,?,374,1010,24.9,30.1,197,RT
204,11,16,1994,10:00,?,I,?,358,880,24.2,28.7,250,RT
205,11,16,1994,11:59,?,I,?,370,1060,24.3,29.8,215,RT
206,11,21,1994,14:42,?,I,?,390,920,25.7,30,214,RT
207,11,21,1994,15:01,?,I,?,398,1195,26.2,29.8,230,RT
208,9,8,1995,15:23,?,I,?,360,890,26,28.4,213,RT
209,9,8,1995,11:40,?,I,?,355,900,25.3,29,214,RT
210,9,13,1995,11:15,?,A,?,375,1110,22.2,31.5,224,RT
211,9,13,1995,12:19,?,I,F,200,160,10.2,13.2,153,SS
212,9,14,1995,10:40,?,I,M,179,105,10.1,11.3,131,SS
213,9,15,1995,13:33,?,I,M,175,99,9.6,12.7,145,SS
214,9,15,1995,13:30,?,I,F,203,165,12,14.4,165,SS
215,9,15,1995,14:20,?,I,F,205,100,12,12.5,168,SS
216,9,17,1995,14:30,?,I,F,213,125,11.5,14.4,156,SS
217,9,17,1995,14:45,?,I,?,409,1100,29,32.6,215,RT
219,9,18,1995,10:05,?,I,F,195,155,11.9,14.6,155,SS
220,9,18,1995,09:40,?,I,?,415,1285,29.5,31.8,239,RT
221,9,19,1995,09:50,?,A,M,236,390,15.1,20.4,185,CH
222,9,20,1995,11:05,?,I,?,363,920,26.8,30.2,214,RT
223,9,23,1995,11:20,?,I,?,381,1025,25.4,30.8,232,RT
224,9,26,1995,12:15,?,A,?,350,940,26,29.1,205,RT
225,9,26,1995,14:58,?,I,?,398,1240,28.5,30.8,243,RT
226,9,26,1995,14:20,?,I,?,412,1160,27.8,33,255,RT
227,9,26,1995,15:10,?,I,F,203,150,11.5,13.9,159,SS
228,9,27,1995,10:05,?,I,F,201,130,11.7,14.4,156,SS
229,9,27,1995,10:50,?,I,?,411,1240,26.8,32.7,276,RT
230,9,27,1995,10:10,?,I,?,373,930,24.4,27.4,210,RT
231,10,1,1995,11:05,?,I,M,178,90,10.9,12.1,145,SS
232,10,1,1995,13:03,?,I,?,415,1240,25.6,31.2,231,RT
233,10,1,1995,12:55,?,I,?,383,1030,25.2,29.8,216,RT
234,10,2,1995,13:55,?,I,M,223,550,18.8,21.3,210,CH
235,10,3,1995,09:40,?,I,?,390,1250,26.5,32,210,RT
236,10,3,1995,12:50,?,I,?,390,999,25.3,29.8,220,RT
237,10,4,1995,13:55,?,A,?,365,1120,26.5,30.8,260,RT
238,10,4,1995,10:15,?,A,?,345,1000,26.4,30.1,200,RT
239,10,5,1995,12:04,?,I,F,273,530,19.2,24.7,213,CH
240,10,6,1995,12:50,?,I,?,400,1040,27.7,32.1,230,RT
241,10,6,1995,13:55,?,I,?,380,1150,27.8,31.1,220,RT
242,10,6,1995,11:20,?,I,?,330,1000,25.9,30.2,220,RT
243,10,6,1995,11:45,?,I,?,410,1360,33.3,28.6,235,RT
244,10,7,1995,12:20,?,I,?,313,930,25.7,28.9,215,RT
245,10,9,1995,12:54,?,I,?,384,980,25.8,30.4,215,RT
246,10,9,1995,11:08,?,I,?,409,1260,27.7,31.8,221,RT
247,10,9,1995,12:15,?,I,?,390,900,27.5,28.6,225,RT
248,10,10,1995,12:36,?,I,?,411,1300,25.9,31.9,238,RT
249,10,10,1995,13:05,?,I,F,259,470,16.6,23.4,221,CH
250,10,11,1995,13:10,?,A,?,380,1040,26.4,30.9,212,RT
251,10,11,1995,12:00,?,I,?,370,950,27.3,30.5,215,RT
252,10,11,1995,11:35,?,I,?,415,1320,29.4,33.9,235,RT
253,10,12,1995,11:50,?,I,F,215,180,14.1,12.7,132,SS
254,10,12,1995,12:50,?,I,?,410,1280,27.9,32.7,229,RT
255,10,12,1995,11:50,?,I,?,412,1310,26.1,31.1,251,RT
256,10,12,1995,14:25,?,A,?,384,910,26.4,28.4,215,RT
257,10,13,1995,14:25,?,I,?,404,1220,28.6,30.4,225,RT
258,10,13,1995,14:25,?,I,?,375,920,23.8,28.8,210,RT
259,10,13,1995,13:15,?,I,?,410,1135,26.4,32.4,267,RT
260,10,14,1995,10:37,?,I,?,384,940,26.2,29.8,220,RT
261,10,14,1995,13:20,?,I,?,385,920,25,32.2,238,RT
262,10,14,1995,14:20,?,I,?,398,1280,28,32.4,248,RT
264,10,15,1995,14:30,?,I,?,425,1220,27.3,33,241,RT
265,10,15,1995,12:05,?,I,?,401,1000,26.7,28,212,RT
266,10,16,1995,13:00,?,I,?,387,1120,26.8,50.2,221,RT
267,10,16,1995,15:00,?,I,?,376,925,26,30.8,233,RT
268,10,17,1995,10:05,?,A,M,171,90,9.9,11.9,138,SS
269,10,17,1995,13:25,?,A,?,420,1280,27.5,31.8,230,RT
270,10,18,1995,13:40,?,I,?,385,985,27.5,30.8,223,RT
271,10,18,1995,14:20,?,I,?,405,1350,28.3,32.6,226,RT
272,10,18,1995,14:30,?,I,?,350,730,24.6,25.7,208,RT
273,10,18,1995,15:00,?,I,?,388,890,27.8,31.2,231,RT
274,10,18,1995,12:35,?,I,?,398,1020,26.5,31.1,217,RT
275,10,20,1995,13:33,?,A,?,410,1000,27.1,30.6,230,RT
276,10,23,1995,11:10,?,I,F,202,150,11.7,14.1,153,SS
277,10,23,1995,11:45,?,I,F,204,180,11.5,12.4,186,SS
278,11,2,1995,12:20,?,A,?,382,1020,26.5,29.4,225,RT
279,11,2,1995,13:05,?,I,?,111,1340,26.85,31.9,226,RT
280,11,20,1995,13:15,?,I,?,396,1300,27.3,30.5,214,RT
281,11,21,1995,12:00,?,I,?,363,1015,25.5,30.1,242,RT
282,10,2,1996,12:02,?,I,?,360,900,30.5,28.8,220,RT
283,10,10,1996,10:10,?,I,?,390,1000,26.1,29.6,250,RT
284,10,10,1996,10:30,?,I,M,195,150,12.3,14.6,178,SS
285,10,10,1996,12:20,?,A,?,390,1050,24.8,32.5,220,RT
286,10,10,1996,12:05,?,I,?,380,950,24.9,29,240,RT
287,10,14,1996,13:00,?,I,M,225,350,12.6,26,215,CH
288,10,17,1996,14:10,?,A,M,247,375,16.9,18.2,160,CH
289,10,18,1996,11:45,?,A,?,415,1175,28.3,33.2,230,RT
290,10,23,1996,09:47,?,I,?,354,980,25.8,29.3,220,RT
291,10,24,1996,10:45,?,A,?,417,1260,29,32.8,234,RT
292,10,24,1996,11:07,?,I,?,379,1050,25.9,31.3,226,RT
293,10,25,1996,12:15,?,A,?,412,1330,29.2,32.2,218,RT
294,10,27,1996,13:20,?,A,?,377,980,28,29.1,209,RT
295,10,28,1996,09:40,?,I,?,372,920,25.3,30,228,RT
296,10,30,1996,13:05,?,I,?,420,1540,29.9,35.5,235,RT
297,10,30,1996,10:58,?,I,?,368,1060,25.5,26.9,223,RT
298,11,1,1996,09:25,?,I,?,406,1420,29.9,32,245,RT
299,11,7,1996,10:35,?,I,M,225,400,15,20,202,CH
300,9,9,1997,11:18,?,I,?,392,1142,27.2,33,235,RT
301,9,9,1997,10:40,?,I,F,191,157,12,13.8,158,SS
302,9,10,1997,16:16,?,I,M,161,98,10.3,11.7,133,SS
303,9,10,1997,12:40,?,I,?,365,813,26.2,30.1,221,RT
304,9,11,1997,09:25,?,I,M,156,94,9.9,11.4,125,SS
305,9,12,1997,11:30,?,I,F,191,155,16.5,14.4,158,SS
306,9,14,1997,14:05,?,I,F,198,181,12.5,14.1,159,SS
307,9,14,1997,13:20,?,I,M,160,92,9.8,11,132,SS
308,9,17,1997,12:01,?,I,M,164,98,10.1,11.4,136,SS
309,9,17,1997,13:06,13:26,I,?,352,1024,26.6,30.3,216,RT
310,9,17,1997,10:39,10:53,I,F,265,464,19.2,24.1,225,CH
311,9,18,1997,14:35,14:50,I,M,163,100,10.4,11.2,137,SS
312,9,18,1997,10:05,10:32,I,F,193,186,12.8,14,155,SS
313,9,19,1997,11:00,10:20,I,F,190,164,11.9,14.5,155,SS
314,9,20,1997,10:46,11:00,I,M,165,98,10.1,11.4,138,SS
316,9,21,1997,12:35,12:50,A,F,198,158,12.1,14.5,154,SS
317,9,21,1997,12:26,13:10,I,?,370,1023,25.8,30.1,216,RT
318,9,23,1997,13:04,13:45,I,?,230,340,16.5,30.5,200,RT
319,9,23,1997,15:02,14:07,I,M,194,163,12.2,20,158,CH
320,9,23,1997,11:16,11:28,I,F,157,92,9.8,14.7,132,SS
321,9,23,1997,14:33,14:45,I,M,260,550,19.5,11.2,215,SS
322,9,24,1997,13:05,13:36,A,F,377,1119,25.4,23.9,226,CH
323,9,24,1997,10:30,10:42,I,?,364,917,26,29.6,216,RT
324,9,25,1997,10:56,11:22,I,?,367,946,26.7,28.9,221,RT
325,9,25,1997,11:42,11:50,I,?,233,337,15.7,31.9,196,RT
326,9,25,1997,11:55,12:07,I,M,336,742,23.4,18.8,221,CH
327,9,26,1997,13:35,11:55,I,F,259,439,18.8,15.2,218,SS
328,9,26,1997,11:43,12:09,I,F,199,187,12.2,24.2,157,CH
329,9,26,1997,12:00,12:24,I,F,165,92,9.7,14.6,135,SS
330,9,26,1997,12:13,10:50,I,M,370,1094,27.3,11.5,221,SS
331,9,26,1997,10:19,?,I,?,362,832,23.8,32.6,210,RT
333,9,30,1997,11:20,?,I,?,368,1244,26.7,30.2,220,RT
334,10,1,1997,10:45,?,I,?,367,974,25.2,29.6,221,RT
335,10,1,1997,11:00,?,I,?,400,1289,28.6,32.1,242,RT
336,10,1,1997,12:05,?,I,?,379,999,28.3,32,220,RT
337,10,1,1997,10:10,?,I,?,360,994,26.5,30.4,210,RT
338,10,1,1997,10:59,?,I,?,362,1004,27,31.4,221,RT
339,10,2,1997,13:35,13:52,I,?,378,1097,28.9,33.4,236,RT
340,10,2,1997,13:36,14:40,I,F,201,185,13.1,14.5,162,SS
341,10,6,1997,14:26,?,I,M,193,181,12.8,11.5,150,SS
342,10,6,1997,12:10,?,I,?,372,1092,27.2,31.8,235,RT
343,10,8,1997,12:50,?,I,?,369,1049,30.1,32,231,RT
344,10,8,1997,10:50,11:00,I,?,354,998,27.2,29.2,227,RT
345,10,9,1997,11:58,12:27,I,?,367,1091,31.8,34.2,238,RT
346,10,9,1997,12:25,12:41,I,?,349,987,29,31.1,225,RT
347,10,9,1997,12:32,12:59,I,?,375,1151,34.1,33.7,249,RT
348,10,9,1997,12:57,13:14,I,?,343,971,25.1,26.1,213,RT
349,10,9,1997,11:52,12:05,I,?,360,1159,32.9,34,240,RT
350,10,10,1997,13:17,13:32,I,?,395,1239,26.7,33.2,231,RT
351,10,10,1997,12:01,12:21,I,?,400,1216,28.5,32.1,227,RT
352,10,10,1997,14:08,14:37,A,F,170,177,12.3,14.4,155,SS
353,10,13,1997,10:00,10:25,I,F,268,469,20,24.9,227,CH
354,10,14,1997,11:52,12:13,I,?,369,1039,26.9,29.5,223,RT
355,10,14,1997,09:57,11:07,I,?,365,1079,25.2,30,228,RT
356,10,16,1997,13:00,13:32,A,?,375,1159,33.8,32.7,242,RT
357,10,17,1997,13:27,13:57,I,M,230,162,12.3,13.8,149,SS
358,10,17,1997,14:27,14:50,A,M,213,339,23.5,13.8,184,CH
359,10,20,1997,14:58,15:15,A,?,382,1403,34.9,34.7,247,RT
360,10,20,1997,11:45,12:00,I,M,168,175,12.9,14,158,SS
361,10,20,1997,11:55,12:08,A,?,478,1473,39.2,44.7,267,RT
362,10,20,1997,12:10,12:30,I,?,469,1001,29.9,43.2,257,RT
363,10,21,1997,14:21,14:45,I,M,172,98,8.7,10.9,148,SS
364,10,21,1997,11:52,12:05,I,?,373,914,25.9,30.4,221,RT
365,10,23,1997,14:15,14:30,A,?,386,1059,25.5,30.5,214,RT
366,10,23,1997,13:05,13:25,I,?,384,1147,29,35,229,RT
367,10,31,1997,10:00,?,I,?,351,949,26.8,29.7,213,RT
368,10,31,1997,14:35,15:00,I,M,168,102,9.6,11.9,138,SS
369,11,1,1997,11:21,11:35,I,?,363,973,24.8,27.3,213,RT
370,11,1,1997,12:34,12:50,I,F,199,196,12.4,15.2,158,SS
371,11,3,1997,12:49,13:05,I,M,235,327,16.5,20.3,193,CH
372,11,3,1997,13:05,13:20,A,?,374,1064,26,32.1,201,RT
373,11,3,1997,12:16,12:33,I,?,369,749,24,26.8,216,RT
374,11,6,1997,13:47,14:10,I,F,202,201,11.7,14.9,165,SS
375,11,7,1997,12:10,12:36,I,F,202,180,12.4,14.1,160,SS
376,11,10,1997,14:36,15:03,I,?,374,1213,24.9,28,244,RT
377,11,11,1997,11:00,11:47,I,?,389,1200,28.2,30.8,230,RT
378,11,15,1997,11:50,12:14,I,?,379,1040,25.3,29.4,227,RT
379,11,18,1997,12:21,12:34,I,M,170,113,10.6,11.1,139,SS
380,9,20,1998,14:22,14:34,I,?,373,919,24.2,28.5,233,RT
381,9,21,1998,11:30,12:01,I,?,403,1487,26,32.5,240,RT
382,10,1,1998,12:15,?,I,?,400,1254,25.2,30,237,RT
383,10,8,1998,12:52,?,A,F,205,156,10.8,14.1,144,SS
